wl;00_background;01_m_c;01_m_q;02_m_c;02_m_q;03_m_c;03_m_q
363;4.721341399;4.285026201;52.95821877;7.412506055;14.02170278;25.17395056;13.78931996
364;4.735908832;4.326767058;52.16551873;7.522658746;13.76995551;25.40915316;13.57424341
365;4.753064505;4.364367456;51.2344759;7.626912285;13.44937636;25.6488392;13.34258014
366;4.772344801;4.398872835;50.19201846;7.726862977;13.07349892;25.89314529;13.09882805
367;4.793286105;4.431328631;49.06507455;7.824107127;12.65585677;26.14220801;12.847485
368;4.815424802;4.462780281;47.88057236;7.920241041;12.2099835;26.39616396;12.59304891
369;4.838297277;4.494273223;46.66544004;8.016861023;11.74941268;26.65514973;12.34001764
370;4.861439914;4.526852894;45.44660576;8.115563379;11.2876779;26.91930192;12.09288909
371;4.884389097;4.561564731;44.25099769;8.217944415;10.83831273;27.18875711;11.85616115
372;4.906681212;4.599454172;43.10554399;8.325600435;10.41485077;27.46365191;11.63433171
373;4.927852642;4.641566653;42.03717283;8.440127744;10.03082559;27.74412289;11.43189864
374;4.947439774;4.688947613;41.07281238;8.563122648;9.699770778;28.03030667;11.25335985
375;4.96497899;4.742642488;40.2393908;8.696181453;9.435219911;28.32233982;11.10321322
376;4.981788148;4.803157355;39.45116073;8.843682477;9.198486916;28.63981834;10.97596317
377;4.999390197;4.869711244;38.61255658;9.007182928;8.944901326;28.99755744;10.86244507
378;5.01762916;4.94141902;37.73577912;9.184047442;8.679020133;29.38852257;10.76165319
379;5.036349059;5.017395551;36.83302915;9.371640657;8.405400331;29.80567918;10.67258182
380;5.055393919;5.096755703;35.91650747;9.567327208;8.128598912;30.24199269;10.59422524
381;5.074607762;5.178614344;34.99841486;9.768471732;7.853172869;30.69042857;10.52557774
382;5.093834612;5.26208634;34.09095211;9.972438865;7.583679195;31.14395226;10.46563358
383;5.112918491;5.346286558;33.20632001;10.17659324;7.324674883;31.5955292;10.41338706
384;5.131703422;5.430329864;32.35671936;10.37829951;7.080716926;32.03812483;10.36783245
